title,year,actor,country,describe,genre,num,rating
本杰明·巴顿奇事,2008,导演: 大卫·芬奇 David Fincher??????主演: 凯特·布兰切特 Cate Blanchett / ...,美国,在时间之河里感受溺水之苦。,剧情 爱情 奇幻,606904人评价,8.9
情书,1995,导演: 岩井俊二 Shunji Iwai??????主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,日本,暗恋的极致。,剧情 爱情,567395人评价,8.9
黑客帝国,1999,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski??????主...,美国 澳大利亚,视觉革命。,动作 科幻,460189人评价,8.9
看不见的客人,2016,导演: 奥里奥尔·保罗 Oriol Paulo??????主演: 马里奥·卡萨斯 Mario Casas / 阿...,西班牙,你以为你以为的就是你以为的。,剧情 犯罪 悬疑 惊悚,677824人评价,8.8
让子弹飞,2010,导演: 姜文 Wen Jiang??????主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,中国大陆 中国香港,你给我翻译翻译，神马叫做TMD的惊喜。,剧情 喜剧 动作 西部,986737人评价,8.8
西西里的美丽传说,2000,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore??????主演: 莫妮卡·贝鲁奇 Monica ...,意大利 美国,美丽无罪。,剧情 战争 情色,584455人评价,8.8
小鞋子,1997,导演: 马基德·马基迪 Majid Majidi??????主演: 法拉赫阿米尔·哈什米安 Amir Fa...,伊朗,奔跑的孩子是天使。,剧情 儿童 家庭,232396人评价,9.2
拯救大兵瑞恩,1998,导演: 史蒂文·斯皮尔伯格 Steven Spielberg??????主演: 汤姆·汉克斯 Tom Hanks...,美国,美利坚精神输出大片No1.,剧情 历史 战争,389464人评价,9
猫鼠游戏,2002,导演: 史蒂文·斯皮尔伯格 Steven Spielberg??????主演: 莱昂纳多·迪卡普里奥 L...,美国 加拿大,骗子大师和执著警探的你追我跑故事。 ,传记 犯罪 剧情,439408人评价,8.9
美国往事,1984,导演: 赛尔乔·莱翁内 Sergio Leone??????主演: 罗伯特·德尼罗 Robert De Niro ...,意大利 美国,往事如烟，无处祭奠。,犯罪 剧情,259709人评价,9.2
音乐之声,1965,导演: 罗伯特·怀斯 Robert Wise??????主演: 朱莉·安德鲁斯 Julie Andrews / 克...,美国,用音乐化解仇恨，让歌声串起美好。,剧情 传记 爱情 歌舞,360774人评价,9
致命魔术,2006,导演: 克里斯托弗·诺兰 Christopher Nolan??????主演: 休·杰克曼 Hugh Jackman...,美国 英国,孪生蝙蝠侠大战克隆金刚狼。,剧情 悬疑 惊悚,521109人评价,8.8
七宗罪,1995,导演: 大卫·芬奇 David Fincher??????主演: 摩根·弗里曼 Morgan Freeman / 布...,美国,警察抓小偷，老鼠玩死猫。,剧情 犯罪 悬疑 惊悚,617956人评价,8.8
低俗小说,1994,导演: 昆汀·塔伦蒂诺 Quentin Tarantino??????主演: 约翰·特拉沃尔塔 John Tra...,美国,故事的高级讲法。,剧情 喜剧 犯罪,519061人评价,8.8
被嫌弃的松子的一生,2006,导演: 中岛哲也 Tetsuya Nakashima??????主演: 中谷美纪 Miki Nakatani / 瑛太 E...,日本,以戏谑来戏谑戏谑。,剧情 歌舞,467109人评价,8.9
我不是药神,2018,导演: 文牧野 Muye Wen??????主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,中国大陆,对我们国家而言，这样的电影多一部是一部。,剧情 喜剧,1255908人评价,9
穿条纹睡衣的男孩,2008,导演: 马克·赫尔曼 Mark Herman??????主演: 阿萨·巴特菲尔德 Asa Butterfield ...,英国 美国,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,剧情 战争,279057人评价,9.1
沉默的羔羊,1991,导演: 乔纳森·戴米 Jonathan Demme??????主演: 朱迪·福斯特 Jodie Foster / 安...,美国,安东尼·霍普金斯的顶级表演。,剧情 犯罪 惊悚,519742人评价,8.8
蝴蝶效应,2004,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber??????主...,美国 加拿大,人的命运被自己瞬间的抉择改变。,剧情 悬疑 科幻 惊悚,573567人评价,8.8
春光乍泄,1997,导演: 王家卫 Kar Wai Wong??????主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,中国香港 日本 韩国,爱情纠缠，男女一致。,剧情 爱情 同性,386738人评价,8.9
心灵捕手,1997,导演: 格斯·范·桑特 Gus Van Sant??????主演: 马特·达蒙 Matt Damon / 罗宾·...,美国,人生中应该拥有这样的一段豁然开朗。,剧情,423127人评价,8.9
勇敢的心,1995,导演: 梅尔·吉布森 Mel Gibson??????主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,美国,史诗大片的典范。,动作 传记 剧情 历史 战争,401032人评价,8.9
禁闭岛,2010,导演: Martin Scorsese??????主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,美国,昔日翩翩少年，今日大腹便便。,剧情 悬疑 惊悚,565527人评价,8.8
天使爱美丽,2001,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet??????主演: 奥黛丽·塔图 Audrey Tau...,法国 德国,法式小清新。 ,喜剧 爱情,682016人评价,8.7
剪刀手爱德华,1990,导演: 蒂姆·波顿 Tim Burton??????主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,美国,浪漫忧郁的成人童话。,剧情 奇幻 爱情,703591人评价,8.7
布达佩斯大饭店,2014,导演: 韦斯·安德森 Wes Anderson??????主演: 拉尔夫·费因斯 Ralph Fiennes / ...,美国 德国 英国,小清新的故事里注入了大历史的情怀。,剧情 喜剧 冒险,528503人评价,8.8
阿凡达,2009,导演: 詹姆斯·卡梅隆 James Cameron??????主演: 萨姆·沃辛顿 Sam Worthington ...,美国 英国,绝对意义上的美轮美奂。,动作 科幻 冒险,825802人评价,8.7
摩登时代,1936,导演: 查理·卓别林 Charles Chaplin??????主演: 查理·卓别林 Charles Chaplin ...,美国,大时代中的人生，小人物的悲喜。,剧情 喜剧 爱情,159801人评价,9.3
加勒比海盗,2003,导演: 戈尔·维宾斯基 Gore Verbinski??????主演: 约翰尼·德普 Johnny Depp / ...,美国,约翰尼·德普的独角戏。,动作 冒险 奇幻,545180人评价,8.7
幽灵公主,1997,导演: 宫崎骏 Hayao Miyazaki??????主演: 松田洋治 Y??ji Matsuda / 石田百合...,日本,人与自然的战争史诗。,动画 奇幻 冒险,348163人评价,8.9
